0,1,2,3,4,5,6,7,8,9
"('trying', 0.6002961917202184)","('honest', 0.5409408244680327)","('oh', 0.19312762240922926)","('deserve', 0.19060264014985337)","('hate', 0.15497321890094967)","('swear', 0.15155456389083918)","('hurt', 0.14560145525254234)","('promise', 0.13767774199018237)","('need', 0.13746504250454833)","('give', 0.13413134354794348)"
"('patience', 0.45715611706845805)","('losing', 0.3886325202544613)","('driving', 0.27759465732461525)","('say', 0.2760035294319623)","('willing', 0.2612320668962617)","('morning', 0.22207572585969218)","('wake', 0.1904626611940516)","('crazy', 0.1797038047331913)","('yeah', 0.1429779952617473)","('alone', 0.13710940247943829)"
"('bad', 0.49212752028016804)","('nobody', 0.2935499971028312)","('reputation', 0.2934117088460196)","('lady', 0.25728859189138703)","('know', 0.23531352703794337)","('trust', 0.21872334234674135)","('underneath', 0.20630810503197783)","('treat', 0.20630810503197783)","('said', 0.20255946475942924)","('got', 0.20078665071641877)"
"('understand', 0.55277474761856)","('really', 0.24496076673638414)","('praying', 0.24167287105837515)","('na', 0.2376987770040853)","('turning', 0.18125465329378138)","('forget', 0.1630682205705979)","('ta', 0.16228848195339313)","('changing', 0.1453399226696144)","('need', 0.13976132846623412)","('sometimes', 0.13819368690464)"
"('hold', 0.5667055885311262)","('much', 0.26419316384792524)","('shawn', 0.22905895709178462)","('dad', 0.22905895709178462)","('ahead', 0.22905895709178462)","('ta', 0.22480134971513066)","('matter', 0.1914253369329993)","('alright', 0.1914253369329993)","('slow', 0.17580597333348713)","('stay', 0.1636906536920547)"
"('let', 0.3896991788093101)","('die', 0.2983621630523357)","('rose', 0.2807754489549023)","('worried', 0.2561568818088715)","('flame', 0.2561568818088715)","('fire', 0.22514115525900177)","('many', 0.21407116329583764)","('honest', 0.19660401192883473)","('trying', 0.17726850215087797)","('might', 0.17726850215087797)"
"('party', 0.41208950637770864)","('sorry', 0.34284900031693294)","('life', 0.30589994087437106)","('people', 0.273055178100554)","('care', 0.25129309815087336)","('scary', 0.19272012267653643)","('ordinary', 0.19272012267653643)","('tonight', 0.17992812139217115)","('shot', 0.17582230166631815)","('mistake', 0.17582230166631815)"
"('needing', 0.40823756026793423)","('stitch', 0.3628778313492748)","('thread', 0.31751810243061546)","('needle', 0.31751810243061546)","('without', 0.26457195040513676)","('kiss', 0.25409357459441384)","('falling', 0.15424285148592218)","('head', 0.14319006938302706)","('begging', 0.13833417376831822)","('wind', 0.13607918675597808)"
"('alone', 0.6079846965663988)","('never', 0.5081039469914725)","('piece', 0.26731898209055)","('apart', 0.203811571418321)","('longer', 0.1625868575891412)","('make', 0.12613438241040675)","('heart', 0.11904711777774359)","('talk', 0.11618820472425029)","('stay', 0.11618820472425029)","('hey', 0.11618820472425029)"
"('oh', 0.6689797991030655)","('kid', 0.3791477440095578)","('grow', 0.27509726971667114)","('maybe', 0.2395982578496092)","('ever', 0.216602250674116)","('alright', 0.2092567837453237)","('got', 0.20228851617274335)","('love', 0.19038919169199375)","('na', 0.13497382556916673)","('yeah', 0.1180287678805891)"
"('running', 0.49112217813104053)","('name', 0.4045276283526834)","('even', 0.33461509236576464)","('kill', 0.24556108906552027)","('know', 0.2113495353584405)","('everyday', 0.1976483113208352)","('face', 0.19490652467834987)","('stop', 0.18832520495745403)","('smile', 0.17371685988497443)","('searching', 0.14442918197734939)"
"('ah', 0.8892710871922953)","('wah', 0.3196316326120749)","('big', 0.15981581630603744)","('something', 0.13349066448114885)","('happening', 0.13075839515948517)","('oh', 0.12448115754359966)","('air', 0.08474233389128923)","('feel', 0.05934060202425366)","('woah', 0.04940394928846084)","('pulling', 0.04358613171982839)"
"('attached', 0.5691597786080826)","('string', 0.5241684919152197)","('girl', 0.2143197364260676)","('want', 0.16897872513809326)","('strings', 0.14228994465202066)","('pas', 0.14228994465202066)","('brings', 0.14228994465202066)","('get', 0.1422769249507857)","('back', 0.13050998285697946)","('let', 0.10971653047561025)"
"('memory', 0.374149570873157)","('aftertaste', 0.374149570873157)","('replace', 0.29931965669852556)","('permanent', 0.29931965669852556)","('erase', 0.27307512180778754)","('one', 0.24853758225216016)","('remember', 0.24393198678671868)","('kiss', 0.20958899923455776)","('leave', 0.2009995267225551)","('turn', 0.1636740629887815)"
"('air', 0.9659081431772043)","('trying', 0.08485430094775115)","('suffocating', 0.07680037958651037)","('stringing', 0.07680037958651037)","('spare', 0.07680037958651037)","('harm', 0.07680037958651037)","('hard', 0.07056464957231191)","('time', 0.06479439096880137)","('coming', 0.05855478696888083)","('along', 0.05855478696888083)"
"('need', 0.43801687717827703)","('feeling', 0.3046490417610318)","('wait', 0.2743359497581743)","('guess', 0.2743359497581743)","('crazy', 0.23156877245914248)","('making', 0.23009323270950469)","('shine', 0.21039200153534235)","('think', 0.20682462858447279)","('someone', 0.20575196231863072)","('sun', 0.178856129766752)"
"('much', 0.4352804035113595)","('little', 0.3839162979773963)","('sometimes', 0.38229006469724264)","('would', 0.254116349654304)","('realize', 0.2507055665363734)","('fog', 0.2507055665363734)","('clear', 0.2507055665363734)","('get', 0.23501496250801607)","('soon', 0.22872354550628413)","('afraid', 0.20431370133937718)"
"('take', 0.3354419105593461)","('bear', 0.30298543765823666)","('pain', 0.25757064127808377)","('wall', 0.24295034239972368)","('shining', 0.20199029177215774)","('darkness', 0.20199029177215774)","('trying', 0.191290851486914)","('let', 0.18690012754333557)","('noticed', 0.18427965653197356)","('break', 0.18034551772198154)"
"('bring', 0.5909638439089399)","('back', 0.43363109783347653)","('sad', 0.1969879479696466)","('burnt', 0.1969879479696466)","('worse', 0.16746122346588746)","('far', 0.15795574129812825)","('black', 0.15795574129812825)","('used', 0.15018919686206386)","('god', 0.15018919686206386)","('coming', 0.15018919686206386)"
"('craving', 0.4198389940843834)","('imagination', 0.3834905170235107)","('dreams', 0.23009431021410642)","('mouth', 0.2099194970421917)","('wait', 0.20001755664314147)","('knows', 0.1956052392958121)","('true', 0.18450223840065047)","('beautiful', 0.18450223840065047)","('say', 0.16207005129153482)","('kiss', 0.16111616837751774)"
"('lift', 0.60708112811906)","('weight', 0.553851874737694)","('pushed', 0.18679419326740307)","('back', 0.17989628411036265)","('happier', 0.17041596145775204)","('needed', 0.14978182965937023)","('try', 0.1430230212947649)","('heavy', 0.1400956449505523)","('break', 0.1389814959121431)","('tell', 0.12872321627917313)"
"('ah-ah', 0.56551985871225)","('know', 0.47699058441130293)","('he-ey', 0.282759929356125)","('summer', 0.25796736172611545)","('seem', 0.2456267888660197)","('last', 0.2267324204917105)","('mean', 0.17742325938814588)","('though', 0.15899301649250824)","('close', 0.1382619346399609)","('tell', 0.12062447413992149)"
"(""i'ma"", 0.6415209520400972)","(""'em"", 0.4887778682210265)","('way', 0.30581908561253274)","('either', 0.24438893411051324)","('tell', 0.19247175007483142)","('hate', 0.15933274520973922)","('little', 0.11227300950663682)","('could', 0.10306450592528756)","('maybe', 0.09846742569650589)","('wanted', 0.09798222594418246)"
"('doin', 0.6673286741504895)","('round', 0.3002979033677202)","('knew', 0.2738580980532701)","('huh', 0.26693146966019576)","('attention', 0.21308590737512423)","('runnin', 0.1826450634643922)","('want', 0.14859318004051908)","('karma', 0.13346573483009788)","('gettin', 0.12176337564292812)","('dress', 0.11346041966418072)"
"('goin', 0.403670909283764)","('ha', 0.34316426483442825)","('shady', 0.3229367274270112)","('ooh-oh', 0.3229367274270112)","('long', 0.28265762038509246)","('ooh-ooh-oh', 0.201835454641882)","('baby', 0.1990317597951471)","('lately', 0.1695945722310555)","('encore', 0.1614683637135056)","('creepin', 0.1614683637135056)"
"('done', 0.5991371348734528)","('baby', 0.558471541178156)","('tell', 0.2775281859248916)","('honestly', 0.2350870632323145)","('oh', 0.18219574724564222)","('die', 0.1497842837183632)","('wo', 0.13479881823278678)","('lie', 0.12846209630344085)","('cry', 0.12846209630344085)","('given', 0.12055904643522858)"
"('patient', 0.690003740186558)","('please', 0.4542504405212198)","('trust', 0.29328918778697055)","('another', 0.1676924661294475)","('na', 0.16452296879267492)","('baby', 0.16200450076221315)","('wait', 0.14995249345618453)","('gon', 0.12657588211623577)","('need', 0.10640922880897115)","('minute', 0.10491729671079406)"
"('leave', 0.47266676723731865)","('biggest', 0.3199429842384258)","('part', 0.27198640389994644)","('baby', 0.25352570776236477)","('terrified', 0.23995723817881937)","('believe', 0.22402982356146703)","('walk', 0.2085912530157876)","('goodbye', 0.20398980292495983)","('give', 0.18053845185495568)","('thing', 0.16792422123980313)"
"('boy', 0.6753051250884055)","('treat', 0.5211599409825804)","('dare', 0.21664766449646228)","('beside', 0.18053972041371857)","(""'90s"", 0.18053972041371857)","('young', 0.15347843752009216)","('wanted', 0.144766650272939)","('born', 0.10832383224823114)","('baby', 0.10173248254729551)","('gave', 0.09882593081972414)"
"('slow', 0.6389007901056957)","('got', 0.2921257635791634)","('girl', 0.28191196953600395)","('ta', 0.26393965870063674)","('though', 0.18943413941584886)","('tryna', 0.1688394162721897)","('even', 0.16261005669889836)","('faster', 0.14037404771115558)","('staying', 0.1280659633255714)","('harder', 0.1280659633255714)"
"('another', 0.3694137169698752)","('change', 0.33355969519944845)","('along', 0.32191962172267413)","('get', 0.2849787272424093)","('supposed', 0.2708533159509128)","('loving', 0.2708533159509128)","('close', 0.22022260651745323)","('wrong', 0.20690498794467976)","('waste', 0.1847068584849376)","('day', 0.1814630392131322)"
"('noticed', 0.5105803606011746)","('believed', 0.37310060137890033)","('girl', 0.3122061113527637)","('believe', 0.2612517417644111)","('somebody', 0.2220800499130234)","('half', 0.2114507810477705)","('ooh-ooh-ooh', 0.1701934535337249)","('maybe', 0.16703000202576643)","('saw', 0.15858808578582786)","('tryna', 0.14958626321307372)"
"('empty', 0.40516075936937146)","('cup', 0.3996897291096482)","('oh', 0.32801902658592763)","('party', 0.2848827977164284)","('body', 0.2848827977164284)","('real', 0.2265198852123491)","('hand', 0.2004784004112387)","('another', 0.19427418275409933)","('room', 0.17979315764273057)","('television', 0.17763987960428806)"
"('ooh-ooh', 0.5040537571588425)","('yeah', 0.289016714105435)","('tomorrow', 0.28566708348202613)","('knows', 0.28566708348202613)","('god', 0.25620325081903755)","('cry', 0.2450016215185339)","('already', 0.2142503126115196)","('come', 0.18052417984464367)","('mmm-mmm', 0.1680179190529475)","('least', 0.1680179190529475)"
"('call', 0.5275387737383807)","(""c'mon"", 0.3946658865531168)","('away', 0.3452383961843671)","('superman', 0.328888238794264)","('save', 0.3000511121137296)","('one', 0.26702095000067944)","('nothing', 0.17668436766608756)","('day', 0.17668436766608756)","('got', 0.11407228218290447)","('matter', 0.10030148737728951)"
"('dangerously', 0.5765857483280435)","('loved', 0.46233807823169804)","('speed', 0.19219524944268118)","('ruined', 0.19219524944268118)","('explosion', 0.19219524944268118)","('crash', 0.17534344964620832)","('breathe', 0.14012835067543333)","('air', 0.14012835067543333)","('tied', 0.12813016629512078)","('choking', 0.12813016629512078)"
"('marvin', 0.4945853548624962)","('gaye', 0.4945853548624962)","('dawn', 0.2871398735603518)","('song', 0.2523726959736219)","('let', 0.22881809094353722)","('trouble', 0.21631945369167588)","('get', 0.18545253739016526)","('subtle', 0.1798492199499986)","('healing', 0.1798492199499986)","('pull', 0.14421296912778392)"
"('losing', 0.5157054802968609)","('mind', 0.5114272075333087)","('run', 0.3475162793759603)","('lose', 0.3475162793759603)","('nothing', 0.18622538363229568)","('enough', 0.1857931554943583)","('much', 0.1641431646861406)","('yeah', 0.16262414317345314)","('time', 0.14622887679465366)","('oh', 0.11521795552795981)"
"('anymore', 0.611681096236375)","('talk', 0.5053017751517881)","('used', 0.2799079732076095)","('overdosed', 0.1631675200037483)","('brain', 0.1631675200037483)","('known', 0.15550442955978305)","('shame', 0.14886088969751804)","('wa', 0.14266587397134856)","('game', 0.13871017395405671)","('oh', 0.13256990788650627)"
"('love', 0.4435827407292314)","('make', 0.2873606149823096)","('throw', 0.22224420570517847)","('crazy', 0.20109236463577068)","('nothing', 0.19630194007206903)","('ashamed', 0.18270263576518922)","('insane', 0.16668315427888386)","('wo', 0.1597464446828076)","('afraid', 0.15882067993776314)","('trust', 0.1553171512827546)"
"('crime', 0.4303597085726346)","('reeling', 0.3164003960363382)","('dry', 0.3164003960363382)","('hang', 0.2886582112269303)","('game', 0.2689748178578967)","('night', 0.254169656750554)","('yesterday', 0.25312031682907055)","('playing', 0.23092656898154426)","('play', 0.21349044823908092)","('thing', 0.1328518960485115)"
"('left', 0.8166637663249948)","('right', 0.4712529379867426)","('step', 0.17624739949256393)","('almost', 0.17624739949256393)","('one', 0.0758828825637645)","('moving', 0.0749147484805863)","('regret', 0.07066241596416085)","('far', 0.047108277309440574)","('time', 0.044057818160832624)","('every', 0.03999218091634408)"
"('beautiful', 0.8464050270596216)","('word', 0.1666076457536448)","('girl', 0.13249185609609157)","('remains', 0.1319448632109042)","('opened', 0.1319448632109042)","('express', 0.1319448632109042)","('completely', 0.1319448632109042)","('describe', 0.12037585499945892)","('changed', 0.12037585499945892)","('wearing', 0.11216751304370076)"
"('suffer', 0.7291089863756239)","('make', 0.4763490354852747)","('waiting', 0.16825591993283628)","('sucker', 0.16825591993283628)","('hearted', 0.16825591993283628)","('lover', 0.13491682529169174)","('cold', 0.12828308402854285)","('wait', 0.10969677378504356)","('baby', 0.09876111795291202)","('come', 0.09038994805164044)"
"('judge', 0.42607755305049616)","('always', 0.34778977475169004)","('could', 0.28136579866504136)","('never', 0.27174383881617364)","('love', 0.2545471211463405)","('climb', 0.24347288745742637)","('mount', 0.20015432184019627)","('kilimanjaro', 0.20015432184019627)","('would', 0.19321654152871667)","('baby', 0.18797521866390612)"
"('type', 0.7968052248829647)","('love', 0.32509430134391243)","('wo', 0.15366155724973654)","('single', 0.14940097966555588)","('done', 0.14940097966555588)","('reason', 0.14092063825478157)","('fire', 0.14092063825478157)","('give', 0.13222534257928267)","('move', 0.12305863320542029)","('moment', 0.12305863320542029)"
"('know', 0.37264773200004103)","('sorry', 0.31064985688802127)","('shoe', 0.27879198247560605)","('dying', 0.2450355757310421)","('put', 0.21397677025595044)","('moment', 0.21397677025595044)","('stuck', 0.18586132165040403)","('middle', 0.18586132165040403)","('lying', 0.17318757337702703)","('still', 0.17243701852192742)"
"('youth', 0.6825167401405703)","('away', 0.3582234889258413)","('take', 0.23988236475014083)","('soul', 0.23720885526480145)","('today', 0.2210337560394943)","('mine', 0.20848737435768222)","('wake', 0.1895690185229739)","('long', 0.1820611348825808)","('break', 0.1547631631042128)","('never', 0.1323762280145438)"
"('mercy', 0.6875714347959714)","('please', 0.28462318027600086)","('would', 0.23371883553500852)","('begging', 0.23074028964279142)","('heart', 0.17970171334250892)","('even', 0.1752891266512564)","('though', 0.17017061926261465)","('tearing', 0.12863791808522262)","('easy', 0.11537014482139571)","('apart', 0.11537014482139571)"
"('miss', 0.534311392380658)","('ooh-ooh-ooh', 0.48573762943696175)","('la', 0.4128769850214175)","('baby', 0.28126325910518324)","('messing', 0.26621030053218264)","('girl', 0.2272168205371903)","('ooh-ooh-ooh-ooh-ooh', 0.13310515026609132)","('world', 0.0867797434063069)","('weather', 0.0798630901596548)","('tiffany', 0.0798630901596548)"
"('river', 0.8129763788976416)","('run', 0.5764966359732848)","('view', 0.033409988173875686)","('love', 0.02703864316612976)","('oh', 0.026322285915418617)","('different', 0.023394273744118954)","('looking', 0.021093505797982918)","('fall', 0.018386416529240588)","('maybe', 0.017948415108651312)","('thing', 0.017535456384779484)"
"('feel', 0.4895731430035585)","('doe', 0.4112484385734592)","('gon', 0.23747395368881738)","('missing', 0.22927137274459547)","('better', 0.2266155562800638)","('loved', 0.2162574050922848)","('hang', 0.19683943610501753)","('different', 0.18884629690005314)","('find', 0.16519914344218728)","('bother', 0.16181786915348265)"
"('instagram', 0.32884077515282834)","('model', 0.2740339792940236)","('trouble', 0.2636825701454577)","('wanted', 0.21973547512121475)","('lord', 0.21922718343521888)","('bottle', 0.21922718343521888)","('going', 0.2014272515203602)","('nothing', 0.17665886938890704)","('throttle', 0.16442038757641417)","('problem', 0.16442038757641417)"
