sentiments,counts,artist
anger,4,Charlie Puth
joy,3,Charlie Puth
sadness,6,Charlie Puth
fear,1,Charlie Puth
tentative,18,Charlie Puth
analytical,3,Charlie Puth
confident,3,Charlie Puth
