word,Charlie Puth,word,Shawn Mendes
baby,0.36826243294744143,know,0.4809298916216149
oh,0.3345482665508447,oh,0.2717522064181616
run,0.31346394374352127,yeah,0.21811690251984023
river,0.2660798592241518,ah,0.21632905905656283
love,0.25415294668203703,get,0.21454121559328546
know,0.19709820354933483,baby,0.18414787671757002
got,0.17894442164347504,got,0.16805728554807361
girl,0.14782365266200112,cause,0.16448159862151884
left,0.1452302552468783,take,0.1609059116949641
yeah,0.1452302552468783,na,0.15733022476840933
one,0.14004346041663265,air,0.14660316398874507
tell,0.134856665586387,time,0.1340882597458034
na,0.12966987075614134,say,0.1269368858926939
way,0.12707647334101851,love,0.12514904242941652
right,0.11929628109565003,let,0.12514904242941652
cause,0.11670288368052721,tell,0.11978551203958439
get,0.11410948626540438,go,0.10548276433336536
wa,0.1063292940200359,little,0.09475570355370108
nothing,0.1063292940200359,need,0.08939217316386894
make,0.10373589660491307,want,0.08760432970059157
boy,0.09476816903873898,heart,0.08581648623731418
mind,0.08558211469905329,feel,0.08581648623731418
could,0.08039531986880763,never,0.08581648623731418
want,0.07780192245368481,away,0.08402864277403681
never,0.07780192245368481,one,0.08224079931075942
say,0.07520852503856199,keep,0.0750894254576499
doin,0.07289859156826076,way,0.07330158199437253
anymore,0.07002173020831633,back,0.07151373853109515
go,0.07002173020831633,please,0.07151373853109515
time,0.0674283327931935,think,0.07151373853109515
la,0.06560873241143468,mind,0.0679380516045404
feel,0.06483493537807067,see,0.06615020814126302
take,0.062241537962947846,mercy,0.06436236467798565
please,0.05964814054782502,trying,0.06436236467798565
talk,0.05964814054782502,mean,0.06257452121470826
em,0.058318873254608605,could,0.06257452121470826
miss,0.05705474313270219,hold,0.0589988342881535
ta,0.05705474313270219,every,0.0589988342881535
let,0.054461345717579365,lost,0.05721099082487612
maybe,0.054461345717579365,wah,0.055280535340703554
thing,0.051867948302456536,hard,0.055280535340703554
away,0.04927455088733371,honest,0.055280535340703554
another,0.04927455088733371,even,0.053635303898321364
done,0.04927455088733371,seem,0.05276778373430794
gon,0.04927455088733371,youth,0.05276778373430794
said,0.04927455088733371,make,0.051847460435043985
round,0.04738408451936949,wa,0.051847460435043985
suffer,0.04738408451936949,much,0.051847460435043985
treat,0.046681153472210885,string,0.050255032127912325
knew,0.046681153472210885,promise,0.050059616971766606
give,0.044087756057088055,right,0.050059616971766606
type,0.044087756057088055,wrong,0.050059616971766606
leave,0.044087756057088055,something,0.04827177350848923
night,0.044087756057088055,night,0.04827177350848923
patient,0.043739154940956454,alone,0.04827177350848923
beautiful,0.04149435864196523,would,0.04827177350848923
real,0.040094225362543416,said,0.04648393004521185
marvin,0.040094225362543416,break,0.04648393004521185
gaye,0.040094225362543416,ever,0.04648393004521185
change,0.038900961226842404,begging,0.04522952891512109
somebody,0.038900961226842404,maybe,0.04290824311865709
day,0.038900961226842404,tonight,0.04290824311865709
loved,0.038900961226842404,though,0.04290824311865709
goin,0.03644929578413038,ta,0.04290824311865709
messing,0.03644929578413038,darling,0.04290824311865709
cup,0.03644929578413038,perfectly,0.04271677730872547
come,0.036307563811719575,better,0.04112039965537971
every,0.036307563811719575,crazy,0.04112039965537971
wanted,0.036307563811719575,grow,0.04020402570232986
losing,0.036307563811719575,around,0.03933255619210233
call,0.03371416639659675,leave,0.03933255619210233
going,0.03371416639659675,last,0.037691274095934243
honestly,0.03371416639659675,weight,0.037691274095934243
slow,0.03371416639659675,kid,0.037691274095934243
world,0.03371416639659675,look,0.035756869265547574
even,0.03371416639659675,bad,0.03517852248953863
lose,0.03371416639659675,hand,0.0339690258022702
trouble,0.03371416639659675,girl,0.0339690258022702
dangerously,0.03280436620571734,really,0.0339690258022702
dress,0.03280436620571734,life,0.0339690258022702
hang,0.03280436620571734,help,0.0339690258022702
heart,0.031120768981473923,gon,0.0339690258022702
hate,0.031120768981473923,feeling,0.0339690258022702
would,0.031120768981473923,falling,0.03266577088314301
look,0.031120768981473923,waitin,0.03266577088314301
always,0.031120768981473923,summer,0.03266577088314301
dawn,0.029159436627304303,lift,0.03266577088314301
huh,0.029159436627304303,bit,0.03266577088314301
judge,0.029159436627304303,morning,0.03266577088314301
shady,0.029159436627304303,nothing,0.03218118233899282
attention,0.029159436627304303,somebody,0.03218118233899282
either,0.029159436627304303,sometimes,0.03218118233899282
save,0.029159436627304303,word,0.03218118233899282
find,0.028527371566351094,kiss,0.03039333887571544
long,0.028527371566351094,thought,0.03039333887571544
need,0.028527371566351094,long,0.03039333887571544
room,0.028527371566351094,going,0.03039333887571544
believe,0.028527371566351094,hurt,0.03039333887571544
ha,0.028527371566351094,particular,0.030153019276747395
think,0.025933974151228268,attached,0.030153019276747395
fall,0.025933974151228268,ey,0.030153019276747395
party,0.025933974151228268,try,0.02860549541243806
wait,0.025933974151228268,stop,0.02860549541243806
crazy,0.025933974151228268,close,0.02860549541243806
cry,0.025933974151228268,ready,0.02860549541243806
see,0.025933974151228268,treat,0.02860549541243806
empty,0.025933974151228268,enough,0.02860549541243806
doe,0.025933974151228268,come,0.02860549541243806
hand,0.025933974151228268,always,0.02860549541243806
looking,0.025933974151228268,understand,0.02860549541243806
young,0.02551450704889127,big,0.027640267670351777
gettin,0.02551450704889127,excited,0.027640267670351777
different,0.023340576736105442,hate,0.026817651949160682
walk,0.023340576736105442,move,0.026817651949160682
body,0.023340576736105442,place,0.026817651949160682
used,0.023340576736105442,walk,0.026817651949160682
noticed,0.023340576736105442,wake,0.026817651949160682
game,0.023340576736105442,wait,0.026817651949160682
trust,0.023340576736105442,might,0.026817651949160682
better,0.023340576736105442,remember,0.026817651949160682
enough,0.023340576736105442,blood,0.025127516063956162
wearing,0.021869577470478227,underneath,0.025127516063956162
believed,0.021869577470478227,guess,0.025029808485883303
instagram,0.021869577470478227,light,0.025029808485883303
almost,0.021869577470478227,care,0.025029808485883303
step,0.021869577470478227,mine,0.025029808485883303
dare,0.021869577470478227,forget,0.025029808485883303
mon,0.021869577470478227,put,0.025029808485883303
model,0.021869577470478227,sorry,0.025029808485883303
lately,0.020747179320982616,stay,0.023241965022605924
play,0.020747179320982616,holding,0.023241965022605924
eye,0.020747179320982616,alright,0.023241965022605924
wrong,0.020747179320982616,start,0.023241965022605924
little,0.020747179320982616,name,0.023241965022605924
crime,0.020747179320982616,without,0.023241965022605924
still,0.020747179320982616,thinking,0.023241965022605924
much,0.020747179320982616,skin,0.022614764457560544
lie,0.020747179320982616,needing,0.022614764457560544
around,0.020747179320982616,happening,0.022614764457560544
dry,0.01822464789206519,soul,0.022614764457560544
90,0.01822464789206519,tearing,0.022614764457560544
gave,0.01822464789206519,stitch,0.022614764457560544
shame,0.01822464789206519,give,0.021454121559328545
reeling,0.01822464789206519,coming,0.021454121559328545
thousand,0.01822464789206519,eye,0.021454121559328545
throw,0.01822464789206519,beautiful,0.021454121559328545
superman,0.01822464789206519,apart,0.021454121559328545
beside,0.01822464789206519,someone,0.021454121559328545
start,0.018153781905859787,change,0.021454121559328545
phone,0.018153781905859787,making,0.021454121559328545
friend,0.018153781905859787,nobody,0.021454121559328545
care,0.018153781905859787,made,0.021454121559328545
gone,0.018153781905859787,face,0.021454121559328545
close,0.018153781905859787,still,0.021454121559328545
tryna,0.018153781905859787,stand,0.02010201285116493
turn,0.018153781905859787,reputation,0.02010201285116493
nobody,0.018153781905859787,people,0.02010201285116493
known,0.018153781905859787,anytime,0.02010201285116493
back,0.018153781905859787,pain,0.02010201285116493
try,0.018153781905859787,inch,0.02010201285116493
song,0.018153781905859787,taste,0.02010201285116493
along,0.018153781905859787,nothin,0.02010201285116493
keep,0.018153781905859787,home,0.019666278096051166
alone,0.018153781905859787,talk,0.019666278096051166
thinking,0.018153781905859787,free,0.019666278096051166
runnin,0.015560384490736962,queen,0.019666278096051166
afraid,0.015560384490736962,thing,0.019666278096051166
lover,0.015560384490736962,first,0.019666278096051166
promise,0.015560384490736962,left,0.019666278096051166
man,0.015560384490736962,saying,0.019666278096051166
moment,0.015560384490736962,fall,0.019666278096051166
missing,0.015560384490736962,breathe,0.019666278096051166
new,0.015560384490736962,babe,0.019666278096051166
tonight,0.015560384490736962,afraid,0.017878434632773787
already,0.015560384490736962,gone,0.017878434632773787
home,0.015560384490736962,moment,0.017878434632773787
regret,0.015560384490736962,fool,0.017878434632773787
thought,0.015560384490736962,inside,0.017878434632773787
else,0.015560384490736962,everything,0.017878434632773787
everything,0.015560384490736962,head,0.017878434632773787
someone,0.015560384490736962,today,0.017878434632773787
hey,0.015560384490736962,three,0.017878434632773787
kind,0.015560384490736962,ugly,0.017589261244769314
show,0.015560384490736962,needle,0.017589261244769314
mmm,0.014579718313652151,patience,0.017589261244769314
lord,0.014579718313652151,ruin,0.017589261244769314
apology,0.014579718313652151,plan,0.017589261244769314
yesterday,0.014579718313652151,happiness,0.017589261244769314
television,0.014579718313652151,thread,0.017589261244769314
karma,0.014579718313652151,side,0.01609059116949641
encore,0.014579718313652151,day,0.01609059116949641
creepin,0.014579718313652151,find,0.01609059116949641
chance,0.014579718313652151,anymore,0.01609059116949641
harder,0.014579718313652151,wall,0.01609059116949641
tight,0.014579718313652151,good,0.01609059116949641
subtle,0.014579718313652151,strong,0.01609059116949641
healing,0.014579718313652151,running,0.01609059116949641
bottle,0.014579718313652151,knew,0.01609059116949641
biggest,0.014579718313652151,shawn,0.015076509638373698
insane,0.014579718313652151,shaking,0.015076509638373698
brain,0.014579718313652151,cross,0.015076509638373698
overdosed,0.014579718313652151,kill,0.015076509638373698
actin,0.014579718313652151,self,0.015076509638373698
question,0.012966987075614134,erase,0.015076509638373698
holding,0.012966987075614134,twice,0.015076509638373698
head,0.012966987075614134,bring,0.015076509638373698
work,0.012966987075614134,broken,0.015076509638373698
everyone,0.012966987075614134,late,0.015076509638373698
told,0.012966987075614134,number,0.015076509638373698
life,0.012966987075614134,year,0.015076509638373698
tomorrow,0.012966987075614134,conscious,0.015076509638373698
word,0.012966987075614134,slow,0.01430274770621903
really,0.012966987075614134,hear,0.01430274770621903
trying,0.012966987075614134,easy,0.01430274770621903
door,0.012966987075614134,empty,0.01430274770621903
giving,0.012966987075614134,forever,0.01430274770621903
feelin,0.012966987075614134,ask,0.01430274770621903
making,0.012966987075614134,turn,0.01430274770621903
god,0.012966987075614134,phone,0.01430274770621903
ya,0.012966987075614134,lately,0.01430274770621903
loving,0.012966987075614134,told,0.01430274770621903
supposed,0.012966987075614134,losing,0.01430274770621903
open,0.012966987075614134,party,0.01430274770621903
good,0.012966987075614134,meet,0.012563758031978081
listen,0.012966987075614134,telling,0.012563758031978081
break,0.012966987075614134,fix,0.012563758031978081
screaming,0.010934788735239113,worse,0.012563758031978081
problem,0.010934788735239113,hotel,0.012563758031978081
posted,0.010934788735239113,best,0.012563758031978081
weather,0.010934788735239113,aftertaste,0.012563758031978081
perfume,0.010934788735239113,worried,0.012563758031978081
blow,0.010934788735239113,happier,0.012563758031978081
ruined,0.010934788735239113,flame,0.012563758031978081
ashamed,0.010934788735239113,imagination,0.012563758031978081
full,0.010934788735239113,control,0.012563758031978081
coast,0.010934788735239113,memory,0.012563758031978081
bother,0.010934788735239113,shoulder,0.012563758031978081
liar,0.010934788735239113,stressed,0.012563758031978081
heather,0.010934788735239113,waste,0.012514904242941651
mount,0.010934788735239113,fight,0.012514904242941651
sucker,0.010934788735239113,hey,0.012514904242941651
born,0.010934788735239113,along,0.012514904242941651
hearted,0.010934788735239113,found,0.012514904242941651
emotion,0.010934788735239113,bone,0.012514904242941651
east,0.010934788735239113,old,0.012514904242941651
kilimanjaro,0.010934788735239113,obsessed,0.012514904242941651
changed,0.010934788735239113,many,0.012514904242941651
waiting,0.010934788735239113,felt,0.012514904242941651
road,0.010934788735239113,friend,0.010727060779664272
nicky,0.010934788735239113,else,0.010727060779664272
famous,0.010934788735239113,show,0.010727060779664272
explosion,0.010934788735239113,watch,0.010727060779664272
top,0.010934788735239113,hell,0.010727060779664272
callin,0.010934788735239113,truth,0.010727060779664272
whoa,0.010934788735239113,used,0.010727060779664272
speed,0.010934788735239113,tryna,0.010727060779664272
nicole,0.010934788735239113,two,0.010727060779664272
tiffany,0.010934788735239113,giving,0.010727060779664272
facing,0.010934788735239113,couple,0.010727060779664272
terrified,0.010934788735239113,craving,0.010727060779664272
throttle,0.010934788735239113,cool,0.010727060779664272
view,0.010934788735239113,different,0.010727060779664272
first,0.010373589660491308,die,0.010727060779664272
bout,0.010373589660491308,slipping,0.010051006425582465
half,0.010373589660491308,gladly,0.010051006425582465
though,0.010373589660491308,shot,0.010051006425582465
fire,0.010373589660491308,came,0.010051006425582465
saw,0.010373589660491308,everyday,0.010051006425582465
mercy,0.010373589660491308,praying,0.010051006425582465
might,0.010373589660491308,getting,0.010051006425582465
end,0.010373589660491308,dead,0.010051006425582465
met,0.010373589660491308,rose,0.010051006425582465
goodbye,0.010373589660491308,prepared,0.010051006425582465
pull,0.010373589660491308,shoe,0.010051006425582465
made,0.010373589660491308,gentleman,0.010051006425582465
face,0.010373589660491308,caving,0.010051006425582465
ever,0.010373589660491308,mouth,0.010051006425582465
mine,0.010373589660491308,pushed,0.010051006425582465
found,0.010373589660491308,meant,0.010051006425582465
matter,0.010373589660491308,ruler,0.010051006425582465
caught,0.010373589660491308,dad,0.010051006425582465
hell,0.010373589660491308,puppet,0.010051006425582465
coming,0.010373589660491308,mutual,0.010051006425582465
babe,0.010373589660491308,intention,0.010051006425582465
sure,0.010373589660491308,ripping,0.010051006425582465
ready,0.010373589660491308,sacrifice,0.010051006425582465
single,0.010373589660491308,dream,0.010051006425582465
die,0.010373589660491308,harm,0.010051006425582465
hurt,0.010373589660491308,replace,0.010051006425582465
part,0.010373589660491308,til,0.010051006425582465
name,0.010373589660491308,fine,0.010051006425582465
knee,0.010373589660491308,realize,0.010051006425582465
le,0.010373589660491308,clear,0.010051006425582465
perfect,0.010373589660491308,willing,0.010051006425582465
woah,0.010373589660491308,suffocating,0.010051006425582465
moving,0.010373589660491308,lady,0.010051006425582465
without,0.010373589660491308,spare,0.010051006425582465
dying,0.010373589660491308,conversation,0.010051006425582465
cold,0.010373589660491308,ahead,0.010051006425582465
playing,0.010373589660491308,consuming,0.010051006425582465
tried,0.010373589660491308,confessing,0.010051006425582465
move,0.010373589660491308,stringing,0.010051006425582465
reason,0.010373589660491308,country,0.010051006425582465
place,0.010373589660491308,sound,0.010051006425582465
closer,0.010373589660491308,fog,0.010051006425582465
climb,0.010373589660491308,permanent,0.010051006425582465
crash,0.007780192245368481,believe,0.008939217316386893
guess,0.007780192245368481,new,0.008939217316386893
soon,0.007780192245368481,nervous,0.008939217316386893
lip,0.007780192245368481,met,0.008939217316386893
whole,0.007780192245368481,far,0.008939217316386893
okay,0.007780192245368481,fire,0.008939217316386893
couple,0.007780192245368481,mistake,0.008939217316386893
uh,0.007780192245368481,together,0.008939217316386893
given,0.007780192245368481,bout,0.008939217316386893
onto,0.007780192245368481,matter,0.008939217316386893
waste,0.007780192245368481,pretend,0.008939217316386893
wake,0.007780192245368481,hundred,0.008939217316386893
fool,0.007780192245368481,doe,0.008939217316386893
air,0.007780192245368481,door,0.008939217316386893
black,0.007780192245368481,le,0.008939217316386893
breathe,0.007780192245368481,driving,0.008939217316386893
drunk,0.007780192245368481,dying,0.008939217316386893
light,0.007780192245368481,wasting,0.008939217316386893
took,0.007780192245368481,needed,0.008939217316386893
expect,0.007780192245368481,listen,0.008939217316386893
