artist,artist_popularity,followers,genres
Shawn Mendes,87,10919634,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']"
Charlie Puth,82,5283317,"['dance pop', 'pop', 'post-teen pop', 'viral pop']"
