word,Handwritten (Deluxe),word,Illuminate (Deluxe),word,Nine Track Mind (Deluxe),word,Shawn Mendes,word,Voicenotes
ah,0.5227583515042427,know,0.39678537275510317,river,0.5209070795930667,get,0.3675962733162828,baby,0.4701994969313077
know,0.4184402316709898,na,0.22803757054890986,run,0.4835920871385229,yeah,0.2881159980046541,oh,0.3311839934907472
oh,0.3285530707935179,mercy,0.2179392171460878,love,0.255015425822597,know,0.23347330872790933,boy,0.22309502175674564
air,0.2821798501655853,baby,0.20979456490499707,left,0.1768106952370006,youth,0.21892274574936757,tell,0.19216849005018663
wah,0.14310491755313437,cause,0.18243005643912788,oh,0.16320987252646207,baby,0.1788306194511646,girl,0.1717250336618689
got,0.10848450450729365,got,0.17330855361717148,nothing,0.1527651858676234,perfectly,0.1772231751304404,doin,0.17161155519749666
time,0.10848450450729365,please,0.1641870507952151,right,0.1292078157501158,little,0.16889558503721103,know,0.15945895982887828
cause,0.1053849472356567,say,0.1641870507952151,mind,0.12864436704641968,away,0.15896055062325742,yeah,0.15945895982887828
na,0.1053849472356567,honest,0.15444046785465054,know,0.1258076100724812,take,0.14902551620930385,la,0.15445039967774699
yeah,0.10228538996401973,yeah,0.1413832937403241,got,0.11220678736194269,waitin,0.13552360451151327,miss,0.1523006343970336
love,0.09918583269238276,darling,0.14101949344746856,make,0.10540637600667344,mind,0.13508366158373192,way,0.15128157727355118
take,0.09608627542074581,keep,0.14019914241782716,anymore,0.10452354822521599,ready,0.1345718040540124,got,0.14719288599588765
get,0.09298671814910885,oh,0.1368225423293459,feel,0.10050341175501538,think,0.13412296458837344,em,0.13728924415799731
lift,0.08456199673594304,take,0.1322617909183677,type,0.09786982715898679,particular,0.12509871185678145,another,0.13153236607016539
string,0.08396810648729917,love,0.1277010395073895,cause,0.09520575897376955,want,0.11922041296744307,na,0.12266073832990636
tell,0.08368804633419796,trying,0.12402231829269326,one,0.09520575897376955,excited,0.11467381920204966,round,0.11154751087837282
let,0.08368804633419796,heart,0.12314028809641132,suffer,0.09276427444808039,could,0.10928537855348948,one,0.10630597321925218
feel,0.08062281433302437,let,0.11401878527445493,baby,0.09180555329613492,time,0.10431786134651269,treat,0.10343723271448146
ey,0.07805722775625512,need,0.10945803386347673,marvin,0.07849284760991417,got,0.10431786134651269,patient,0.10296693311849799
attached,0.07805722775625512,hold,0.10784549416755936,gaye,0.07849284760991417,blood,0.10424892654731789,get,0.09403989938626155
last,0.07347209317638677,tell,0.10489728245249853,time,0.07140431923032717,made,0.10092885304050929,love,0.09403989938626155
kid,0.07347209317638677,way,0.10033653104152034,get,0.07140431923032717,somebody,0.09984444551841054,done,0.09194420685731686
something,0.0732934675754767,lost,0.09706094475080342,na,0.06800411355269254,wrong,0.09935034413953589,wa,0.08586251683093445
big,0.07155245877656718,see,0.09577577963054214,talk,0.06800411355269254,queen,0.09251811528713351,messing,0.08580577759874833
go,0.07128981724765011,promise,0.09121502821956394,wa,0.06800411355269254,let,0.0894153097255823,cup,0.08580577759874833
back,0.07128981724765011,go,0.09121502821956394,loved,0.06690418616429443,cause,0.0894153097255823,goin,0.08580577759874833
weight,0.06822408652093058,time,0.08665427680858574,losing,0.06690418616429443,never,0.0894153097255823,please,0.08177382555327091
