word,Charlie Puth,word,Shawn Mendes
darling,3,hit,4
okay,3,kill,4
nicky,3,knees,4
rivers,3,loving,4
onto,3,dad,4
knees,3,warning,4
perfume,3,crime,4
uh,3,prepared,4
view,3,country,4
road,3,gladly,4
crash,3,praying,4
couple,3,conversations,4
stay,3,consuming,4
kilimanjaro,3,meant,4
ruined,3,confessing,4
regrets,3,ripping,4
sucker,3,clear,4
blow,3,uh,4
hold,3,took,4
regret,3,changing,4
top,3,pick,4
drunk,3,caving,4
east,3,'bout,4
lips,3,permanent,4
heather,3,came,4
full,3,lungs,4
emotions,3,call,4
callin,3,whatever,4
end,3,lady,4
thing,2,dead,4
spell,2,arms,4
many,2,everyday,4
swear,2,spare,4
arms,2,end,4
act,2,'til,4
riding,2,replace,4
rumors,2,world,4
lock,2,ahead,4
put,2,mutual,4
kept,2,mouth,4
kiss,2,realize,4
longer,2,puppet,4
takes,2,woah,4
admit,2,intentions,4
blame,2,trust,4
second,2,stringing,4
lonely,2,kids,4
rhythm,2,pushed,4
awoken,2,deserve,4
hide,2,willing,4
wondering,2,suffocating,4
surface,2,pass,3
hope,2,miles,3
lost,2,middle,3
anxious,2,net,3
guy,2,lying,3
light,2,onto,3
remains,2,mess,3
wondered,2,okay,3
remember,2,men,3
rush,2,man,3
ten,2,manipulate,3
ground,2,means,3
inside,2,motions,3
lovin,2,ordinary,3
wish,2,minds,3
line,2,lied,3
legs,2,grabbing,3
least,2,scary,3
hit,2,hope,3
high,2,rest,3
beg,2,regret,3
insecure,2,reciprocate,3
saying,2,hi,3
asking,2,inhibitions,3
scared,2,instead,3
something,2,involved,3
easy,2,japan,3
million,2,quite,3
minute,2,quit,3
clothes,2,heavy,3
tied,2,hearts,3
fight,2,pushing,3
felt,2,kind,3
obsessed,2,pulling,3
popular,2,safety,3
mmh,2,laugh,3
mmm-mmm,2,probably,3
seen,2,pretty,3
pile,2,less,3
faster,2,play,3
far,2,lips,3
till,2,piece,3
wants,2,pictures,3
brokenhearted,2,lose,3
smoking,2,lot,3
warning,2,finally,3
choking,2,nice,3
smile,2,tried,3
describe,2,calling,3
notice,2,tired,3
share,2,chase,3
together,2,trapped,3
express,2,caught,3
dirt,2,string,3
seriously,2,tripping,3
well,2,turning,3
somewhere,2,tightrope,3
mean,2,turns,3
followers,2,brings,3
drive,2,bringing,3
convince,2,fell,3
dance,2,bleed,3
driving,2,black,3
parted,2,closer,3
changing,2,cold,3
opened,2,wasted,3
completely,2,drive,3
sorry,2,stuck,3
needed,2,decisions,3
signs,2,dreams,3
walking,2,started,3
sleep,2,stars,3
staying,2,staring,3
old,2,sure,3
front,2,consequences,3
niggas,1,swear,3
relationships,1,damn,3
plane,1,cry,3
reject,1,crowned,3
sisters,1,talking,3
situation,1,tear,3
likes,1,belong,3
lights,1,deserves,3
lighted,1,bed,3
planned,1,ya,3
lifeline,1,anything,3
spine,1,wish,3
lies,1,appear,3
nyc,1,win,3
repost,1,since,3
sipping,1,asking,3
side,1,asleep,3
sing,1,aching,3
king,1,wind,3
paris,1,fly,3
kissed,1,bear,3
knee,1,kills,2
shy,1,pull,2
pay,1,laying,2
permission,1,pride,2
photographs,1,work,2
one-way,1,alive,2
knock,1,cut,2
singing,1,nah,2
pick,1,dance,2
star,1,nights,2
standing,1,known,2
lawn,1,naked,2
pictures,1,knife,2
shake,1,dark,2
lead,1,stumbled,2
nowhere,1,pulls,2
leather,1,near,2
respect,1,wrapped,2
leaving,1,darkness,2
running,1,supposed,2
next,1,act,2
mask,1,crawling,2
size,1,deep,2
nervous,1,'less,2
modeling,1,sun,2
reaching,1,kinda,2
mistakes,1,across,2
rather,1,days,2
luck,1,punched,2
rate,1,another,2
lungs,1,compared,2
promised,1,noticed,2
promoting,1,train,2
rain,1,medicine,2
miles,1,paradise,2
midnight,1,body,2
lying,1,part,2
quit,1,use,2
scream,1,typical,2
proud,1,breath,2
magic,1,over-complicate,2
quick,1,whole,2
messin,1,astrid,2
prove,1,lure,2
provoking,1,brush,2
queen,1,burnt,2
sometimes,1,argue,2
songs,1,touched,2
pushing,1,word,2
section,1,touch,2
secrets,1,longer,2
molly,1,tomorrow,2
price,1,chest,2
sell,1,living,2
slip,1,live,2
limelight,1,till,2
neither,1,wonder,2
limousine,1,wondering,2
ski,1,light,2
list,1,mhm,2
red-eye,1,thoughts,2
red,1,lies,2
pointless,1,power,2
recklessness,1,seems,2
masterpiece,1,curse,2
lived,1,feelings,2
sexy,1,second,2
posing,1,seams,2
money,1,hurts,2
posse,1,familiar,2
pouring,1,happy,2
power,1,growing,2
set,1,sky,2
must,1,song,2
serve,1,forgive,2
separate,1,house,2
mountain,1,hours,2
pretend,1,guessing,2
looked,1,sound,2
looks,1,hoping,2
mother,1,sad,2
parents,1,sounds,2
hanging,1,hanging,2
traveling,1,hmm,2
upstairs,1,focus,2
detonate-detonator,1,specific,2
deny,1,space,2
deleted,1,honestly,2
true,1,everyone,2
darkest,1,everybody,2
damn,1,hole,2
daily,1,eternity,2
two,1,searching,2
cruel,1,ground,2
uncomfortable,1,slam,2
craving,1,dreaming,2
understand,1,shake,2
unraveling,1,heard,2
coping,1,slowly,2
figured,1,story,2
cop,1,disappointment,2
cool,1,race,2
usually,1,sheets,2
considered,1,shine,2
confront,1,shining,2
voice,1,raise,2
waist,1,drownin,2
complied,1,seeing,2
complicated,1,sinking,2
competition,1,secrets,2
compared,1,sight,2
climbing,1,sneak,2
class,1,standing,2
diamond,1,reason,2
differently,1,sleeping,2
dipping,1,vibe,1
dm,1,sister,1
feet,1,type,1
feelings,1,sleep,1
feeling,1,pack,1
fault,1,waited,1
father,1,parents,1
family,1,waking,1
fake,1,saw,1
faith,1,upon,1
fair,1,paint,1
fading,1,safe,1
faces,1,usually,1
explain,1,wants,1
today,1,walked,1
excuses,1,walking,1
exactly,1,situation,1
ends,1,six,1
electrified,1,wanted,1
easily,1,stress,1
touch,1,singing,1
dumb,1,overwhelmed,1
drop,1,woke,1
tough,1,sign,1
drink,1,nowadays,1
tower,1,worked,1
track,1,worst,1
train,1,sides,1
dog,1,worth,1
city,1,notes,1
christ,1,shut,1
checking,1,shoulder,1
birthday,1,noses,1
bet,1,write,1
winnings,1,yell,1
behind,1,yet,1
bed,1,settle,1
wishlist,1,ocean,1
battery,1,scrolling,1
bank,1,winter,1
ay,1,outside,1
wonder,1,waves,1
ask,1,weeks,1
apologize,1,singin,1
apart,1,well,1
anywhere,1,wild,1
anyway,1,outta,1
worry,1,opposite,1
answered,1,simple,1
alright,1,sincere,1
wrapping,1,simply,1
ah,1,ones,1
written,1,one-on-one,1
afternoon,1,scared,1
adding,1,window,1
accusations,1,sing,1
acapella,1,trouble,1
a-ooh-ooh-ooh,1,slip,1
yet,1,taking,1
23,1,reel,1
bigger,1,standards,1
wild,1,regretted,1
cheated,1,sweet,1
blinded,1,stakes,1
champagne,1,sense,1
wall,1,stained,1
wander,1,spoken,1
casino,1,propose,1
cash,1,prison,1
carry,1,remind,1
car,1,pretending,1
war,1,spinning,1
bye,1,pressure,1
buy,1,spent,1
burn,1,tension,1
bucks,1,surprised,1
wasting,1,surfacing,1
brothers,1,testify,1
watch,1,rainbows,1
water,1,questions,1
weak,1,questioning,1
bright,1,question,1
wear,1,street,1
boyfriend,1,rain,1
boulevard,1,push,1
bought,1,stories,1
bottles,1,sunday,1
bone,1,red,1
blues,1,stomp,1
blue,1,staying,1
whatever,1,sunrise,1
fell,1,reap,1
rough,1,reassure,1
fucking,1,pulled,1
forward,1,recognize,1
glad,1,testified,1
sun,1,pray,1
thank,1,past,1
gets,1,quickly,1
theirselves,1,sore,1
gasoline,1,town,1
taking,1,track,1
funny,1,songs,1
streets,1,somehow,1
fun,1,someday,1
tempting,1,person,1
involved,1,troubled,1
fuck,1,picture,1
friends,1,softly,1
hear,1,truce,1
stressing,1,perfect,1
hundred,1,smell,1
goes,1,runnin,1
ignored,1,small,1
grown,1,twelve,1
growing,1,pickin,1
stroll,1,ropes,1
greyhound,1,thinkin,1
immature,1,plays,1
temporary,1,spending,1
studs,1,possibly,1
ho,1,poison,1
hand,1,thinks,1
green,1,resist,1
happened,1,spend,1
gray,1,threw,1
hurting,1,playing,1
stride,1,sow,1
free,1,speak,1
strong,1,playin,1
hosting,1,thunder,1
stopping,1,tie,1
heard,1,plan,1
stories,1,timeline,1
three,1,rings,1
highlights,1,loud,1
suns,1,zone,1
key,1,fan,1
thrill,1,grew,1
stop,1,hesitation,1
story,1,heartbreak,1
flash,1,cheers,1
hitting,1,headlines,1
throne,1,headed,1
throwin,1,chill,1
throwing,1,happens,1
holdin,1,hair,1
tickets,1,guy,1
karaoke,1,clap,1
sutra,1,grown,1
foolish,1,climb,1
followed,1,clothes,1
kama,1,keeping,1
forget,1,gorgeous,1
forgetting,1,goodbye,1
forgiveness,1,given,1
forever,1,club,1
help,1,getcha,1
heat,1,gently,1
stray,1,comfortable,1
hearts,1,complete,1
jet,1,game,1
sunday,0,conceited,1
searching,0,confession,1
stuck,0,friendship,1
spend,0,high,1
seams,0,cents,1
sense,0,higher,1
summer,0,ceiling,1
stumbled,0,joke,1
waves,0,intertwined,1
seeing,0,interested,1
spending,0,instrumental,1
