word,Handwritten (Deluxe),word,Illuminate (Deluxe),word,Nine Track Mind (Deluxe),word,Shawn Mendes,word,Voicenotes
breaks,5,fix,4,climb,4,walls,4,around,4
harm,4,flame,4,healing,4,country,4,god,4
told,4,confessing,4,reason,4,good,3,part,4
telling,4,sacrifice,4,move,4,stuck,3,apologies,4
gone,4,lady,4,lord,4,different,3,half,4
thinking,4,deserve,4,subtle,4,appear,3,show,4
shot,4,praying,4,try,4,forget,3,night,4
replace,4,hide,4,without,4,ta,3,lie,4
clear,4,felt,4,playing,4,chase,3,biggest,4
guess,4,worried,4,throw,4,fly,3,karma,4
pushed,4,rose,4,game,4,hundred,3,hell,4
moment,4,many,4,change,4,hotel,3,actin,4
slipping,4,face,4,brain,4,shoes,3,'bout,4
happier,4,air,4,overdosed,4,hit,3,encore,4
things,4,pick,4,liar,3,hi,3,wait,4
needed,4,'til,4,promise,3,dying,3,'round,4
might,4,bones,4,top,3,face,3,ya,4
everything,4,gladly,4,tonight,3,fell,3,good,4
anymore,4,lungs,4,problems,3,treat,3,walk,4
suffocating,4,thought,4,pride,3,since,3,saw,3
spare,4,gone,4,crash,3,tightrope,3,knees,3
kids,4,little,4,lie,3,find,3,tonight,3
stringing,4,morning,4,tight,3,girl,3,guess,3
kill,4,else,4,babe,3,finally,3,save,3
woah,4,puppet,4,throttle,3,trapped,3,heather,3
pain,4,ripping,4,facing,3,come,3,tiffany,3
begging,4,twice,4,full,3,crowned,3,goodbye,3
knees,4,consuming,4,friend,3,feels,3,coming,3
along,4,intentions,4,speed,3,half,3,giving,3
soon,4,friends,3,found,3,skin,3,going,3
fog,4,crime,3,please,3,guess,3,regret,3
left,4,instead,3,fool,3,close,3,makes,3
someone,4,man,3,soon,3,bad,3,end,3
realize,4,manipulate,3,first,3,involved,3,lover,3
permanent,4,tear,3,head,3,looking,3,every,3
really,4,consequences,3,hearted,3,reciprocate,3,everybody,3
erase,4,matter,3,sucker,3,loving,3,everything,3
phone,3,dad,3,explosion,3,really,3,expect,3
ordinary,3,string,3,air,3,many,3,promise,3
far,3,talk,3,single,3,maybe,3,looking,3
whatever,3,listen,3,everything,3,means,3,famous,3
hearts,3,slow,3,everyone,3,japan,3,find,3
mouth,3,someone,3,hurt,3,men,3,life,3
dead,3,sometimes,3,emotions,3,met,3,terrified,3
making,3,maybe,3,insane,3,miles,3,friend,3
control,3,sorry,3,posted,3,moment,3,gave,3
move,3,gets,3,done,3,waste,3,given,3
together,3,getting,3,kilimanjaro,3,name,3,east,3
bear,3,fall,3,darling,3,net,3,coast,3
beautiful,3,goes,3,screaming,3,better,3,talk,3
pulling,3,still,3,dying,3,pretend,3,nicole,3
wind,3,shawn,3,lips,3,places,3,perfume,3
grabbing,3,takes,3,ashamed,3,bringing,3,try,3
worse,3,shaking,3,ruined,3,trying,3,place,3
piece,3,drive,3,mount,3,safety,3,callin,3
around,3,remember,3,onto,3,along,3,always,3
pictures,3,different,3,rivers,3,underneath,3,nothing,3
promise,3,hey,3,uh,3,alone,3,nights,3
first,3,inhibitions,3,changed,3,remember,3,weather,3
lost,3,seen,3,met,3,came,3,okay,3
aching,3,decisions,3,black,3,kind,3,better,3
pass,3,swear,3,breathe,3,knew,3,nicky,3
fine,3,day,3,trust,3,honest,2,tried,3
world,3,leave,3,view,3,ya,2,wake,3
hand,3,deserves,3,break,3,started,2,caught,3
lied,3,phone,3,regrets,3,hope,2,waste,3
day,3,moment,3,truth,3,nah,2,born,3
scary,3,places,3,matter,3,act,2,perfect,3
going,3,alright,3,blow,3,fight,2,moment,3
brings,3,wasted,3,moment,3,familiar,2,asking,2
everyday,3,wasting,3,moving,3,hoping,2,back,2
show,3,ahead,3,bother,3,fall,2,takes,2
shaking,3,change,3,lover,3,feelings,2,stay,2
pushing,3,ask,3,bottle,3,head,2,away,2
okay,3,turning,3,waiting,3,eyes,2,face,2
true,3,asking,3,express,2,nice,2,deserve,2
shawn,3,changing,3,name,2,stars,2,everyone,2
