0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"('perfectly', 0.7881119823270964)","('wrong', 0.4827480120633829)","('yeah', 0.14499187871398672)","('hard', 0.11358776754432538)","('leave', 0.09962051529438765)","('oh', 0.09587725623278265)","('sky', 0.09271905674436429)","('hate', 0.09067420686275844)","('much', 0.08780772163891545)","('break', 0.08278351471524059)","('star', 0.07882130272968163)","('late', 0.07069163778684537)","('know', 0.06783992436122606)","('made', 0.06760088262038175)","('worth', 0.04635952837218214)","('resist', 0.04635952837218214)","('poison', 0.04635952837218214)","('favorite', 0.04635952837218214)","('see', 0.043749459423589813)","('use', 0.04229469590076402)"
"('waitin', 0.6334862885576154)","('ready', 0.4458349920493217)","('around', 0.20942746570272783)","('ten', 0.17782825051625842)","('even', 0.16934629515261368)","('year', 0.16570227151790998)","('single', 0.16570227151790998)","('tell', 0.15351093478027392)","('somebody', 0.1450265342563936)","('baby', 0.1372937439749165)","('found', 0.13648568501809213)","('promise', 0.11289753010174244)","('wrapped', 0.09745942900886391)","('familiar', 0.09745942900886391)","('disappointment', 0.09745942900886391)","('every', 0.08845781845627793)","('back', 0.08045182388870573)","('arm', 0.07814831574345589)","('anytime', 0.07814831574345589)","('tried', 0.07430583200822029)"
"('holding', 0.5093667529595965)","('back', 0.3676650333389163)","('nothing', 0.35890651279483177)","('confessing', 0.22269491531543792)","('right', 0.21015705947687421)","('tear', 0.16702118648657846)","('manipulate', 0.16702118648657846)","('inhibition', 0.16702118648657846)","('decision', 0.16702118648657846)","('baby', 0.15685818703623172)","('shaking', 0.1523766642905156)","('reputation', 0.1523766642905156)","('take', 0.14157365348644826)","('know', 0.12220470155570715)","('stumbled', 0.11134745765771896)","('guessing', 0.11134745765771896)","('dark', 0.11134745765771896)","('place', 0.10230671218928268)","('crazy', 0.09191625833472908)","('took', 0.08928449886029087)"
"('ruin', 0.46239141811599316)","('happiness', 0.46239141811599316)","('ever', 0.4170462013680849)","('tryna', 0.3178035435504713)","('cross', 0.3013204636370146)","('darling', 0.26742647883271725)","('mind', 0.1694878671675727)","('one', 0.14397830794724942)","('said', 0.13867956411925297)","('know', 0.09666251063531292)","('listen', 0.09632190921167905)","('felt', 0.09632190921167905)","('baby', 0.0930547637259719)","('remember', 0.08613213696554449)","('think', 0.06493588336777897)","('yeah', 0.061978012874533125)","('feel', 0.05995481773494163)","('way', 0.05202321442971691)","('na', 0.04725068105042648)","('babe', 0.04457107980545288)"
"('mercy', 0.6838187976151018)","('please', 0.2830697598242655)","('would', 0.24582095655319414)","('begging', 0.22948095199986693)","('heart', 0.20106105161520618)","('even', 0.17433243115638197)","('though', 0.16924185963035043)","('tearing', 0.1279358362216567)","('easy', 0.11474047599993346)","('apart', 0.11474047599993346)","('hurt', 0.0921828587074478)","('sacrifice', 0.0915320621949461)","('ripping', 0.0915320621949461)","('puppet', 0.0915320621949461)","('prepared', 0.0915320621949461)","('intention', 0.0915320621949461)","('gladly', 0.0915320621949461)","('consuming', 0.0915320621949461)","('mean', 0.08716621557819099)","('string', 0.08529055748110445)"
"('better', 0.7113127396084682)","('treat', 0.43123766857184864)","('wasted', 0.17926672100477734)","('instead', 0.17926672100477734)","('deserves', 0.17926672100477734)","('gentleman', 0.1635485026757462)","('know', 0.16031206220070643)","('wasting', 0.15239624929137116)","('crime', 0.15239624929137116)","('tell', 0.11765323870448291)","('time', 0.11203144867749416)","('promise', 0.10383176998213689)","('girl', 0.09000494609713722)","('let', 0.08293708753552766)","('want', 0.07837112259087148)","('stop', 0.07791694520702892)","('give', 0.06743813298767481)","('spending', 0.05975557366825911)","('situation', 0.05451616755858206)","('sign', 0.05451616755858206)"
"('empty', 0.4835972219098792)","('three', 0.42504279585223814)","('word', 0.3346642673307287)","('saying', 0.2898554860511649)","('motion', 0.19877793171549782)","('keep', 0.18392775447016782)","('fix', 0.16898290472179092)","('broken', 0.16898290472179092)","('gon', 0.14585713431250277)","('first', 0.1341249577232046)","('darling', 0.1341249577232046)","('hurt', 0.12175890422879083)","('going', 0.12175890422879083)","('tired', 0.1208993054774698)","('worse', 0.11265526981452727)","('cause', 0.10361475040229497)","('na', 0.09479234256747414)","('anymore', 0.08639734763392158)","('try', 0.08117260281919389)","('go', 0.07221081678513587)"
"('fool', 0.6150283578470298)","('hear', 0.3064411410218388)","('darling', 0.27119986101754984)","('wait', 0.20963390320503264)","('na', 0.20125302624157554)","('stand', 0.18386468461310326)","('man', 0.18386468461310326)","('side', 0.17582581690980184)","('move', 0.16886223296227051)","('know', 0.15684226671542081)","('find', 0.1477174649596972)","('always', 0.13967859725639578)","('yeah', 0.12570504275480843)","('cause', 0.12570504275480843)","('understand', 0.1225764564087355)","('say', 0.11324131746261648)","('babe', 0.10847994440701994)","('ever', 0.10150337155177884)","('love', 0.08364328280701286)","('softly', 0.08038555742302754)"
"('guess', 0.3423354211340432)","('going', 0.32163322059837)","('hide', 0.31936254054781527)","('lost', 0.29524905788460304)","('try', 0.268027683831975)","('truth', 0.2552233697054407)","('strong', 0.2552233697054407)","('fight', 0.2552233697054407)","('wa', 0.22955392810132433)","('stop', 0.22822361408936215)","('enough', 0.21442214706558002)","('thought', 0.19753051659034696)","('hand', 0.19753051659034696)","('nowadays', 0.08751390951170761)","('ignore', 0.08751390951170761)","('gorgeous', 0.08751390951170761)","('drop', 0.07984063513695382)","('dead', 0.07984063513695382)","('anyway', 0.07984063513695382)","('kill', 0.07439636032642821)"
"('please', 0.567642288009633)","('promise', 0.5378313277173229)","('baby', 0.35427826862700434)","('consequence', 0.23214296209656607)","('living', 0.15476197473104406)","('complicate', 0.15476197473104406)","('cause', 0.14520788017683017)","('keep', 0.143200114036756)","('moment', 0.10836711414550818)","('much', 0.09770948119787592)","('even', 0.0896385546195538)","('window', 0.07738098736552203)","('simple', 0.07738098736552203)","('heartbreak', 0.07738098736552203)","('fan', 0.07738098736552203)","('decide', 0.07738098736552203)","('know', 0.07548998755595564)","('need', 0.071600057018378)","('slip', 0.07059617394834092)","('across', 0.07059617394834092)"
