DATE,GASREGW
1998-01-01,1.0296538461538462
1999-01-01,1.1358076923076923
2000-01-01,1.4838076923076923
2001-01-01,1.4200566037735849
2002-01-01,1.3445000000000000
2003-01-01,1.5610961538461538
2004-01-01,1.8522115384615385
2005-01-01,2.2704615384615385
2006-01-01,2.5722692307692308
2007-01-01,2.7962264150943396
2008-01-01,3.2455384615384615
2009-01-01,2.3527500000000000
2010-01-01,2.7816730769230769
2011-01-01,3.5210192307692308
2012-01-01,3.6183584905660377
2013-01-01,3.5048653846153846
2014-01-01,3.3576730769230769
2015-01-01,2.4292115384615385
2016-01-01,2.1432500000000000
2017-01-01,2.4146153846153846
