State,FFR09,FFR14,FSR09,FSR14,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12
HI,1274,1249,1129,1231,1036.4801074998122,836.4084339862886,1340.0143784300437,1416.4003769540102
ME,884,931,1396,1448,557.6023022566852,447.1769309921483,690.8527024769338,757.4356361041503
MN,3258,3419,3568,3750,578.8291808949676,521.2382004317762,645.9141303377853,690.5203427883539
NV,2110,2250,1650,1843,939.130452189083,694.2785858317415,1205.7142799950159,1040.3266972945382
VT,360,397,720,710,402.09780446662177,364.11200201932104,671.4633220931398,719.3032064707733
